label,select_sex,dmp_sex,dmp_age,dmp_city,dmp_education,dmp_price,dmp_model,user_state,first_preference,first_weight,second_preference,second_weight,freetype,categoryid,subcategoryid,allwords,vipwords,avgbuy
0,0,2,31,1,1010165000000010009,3999,1010107000000001153,2,1,9582.75,0,0,1,20019,20026,11571526,11627060,21332
0,0,2,18,4,0,1499,1010107000000001079,2,2,6827.04,1,2830.54,2,30013,30015,2199674,4391429,23815
0,0,2,14,2,1010165000000010004,1298,1010107000000001102,1,1,621.28,2,7.3,2,30013,30015,2199674,4391429,23815
0,0,2,39,1,1010165000000010004,6499,1010107000000001421,1,2,283.56,0,0,2,30013,30017,12031601,12044623,32595
0,0,0,0,1,0,2299,1010107000000001224,2,2,19323.9,0,0,2,30008,30010,1226949,1173250,2899
0,0,2,13,2,1010165000000010009,0,1010107000000001079,2,2,50737.8,0,0,2,30020,30028,749828,1310976,5137
0,0,2,30,0,1010165000000010008,999999,1010107000000001153,2,2,223071,0,0,2,30013,30017,2516120,4904666,44457
0,0,1,32,3,1010165000000010004,0,1010107000000001153,2,1,15649.1,0,0,1,20001,20002,2690921,2598316,425
0,0,2,17,2,1010165000000010007,2999,1010107000000001079,2,2,8422.2,0,0,2,30020,30028,624895,630664,1131
0,0,1,46,3,1010165000000010010,1299,1010107000000001288,2,2,14190.4,0,0,2,30013,30017,4902877,4872859,3465
0,0,1,31,6,1010165000000010009,0,1010107000000001102,2,1,151154,3,67049.4,1,20001,20002,3335758,3273511,1678
0,0,2,32,5,1010165000000010007,1498,1010107000000001102,2,2,78249,0,0,2,30020,30028,2583605,2535106,5390
0,0,1,42,2,1010165000000010007,0,1010107000000001153,2,3,154621,0,0,3,13100,13107,197635,160247,11
1,0,2,47,5,1010165000000010004,4299,1010107000000001153,2,3,48837.8,2,14207.7,3,14300,14302,167010,127213,3427
1,0,2,47,5,1010165000000010004,4299,1010107000000001153,2,3,48837.8,2,14207.7,3,14300,14302,167010,127213,3427
0,0,1,20,4,1010165000000010010,9599,1010107000000001421,1,1,3519.38,3,2584.53,1,20001,20002,6664121,6662795,34281
0,0,1,32,6,1010165000000010007,0,1010107000000001079,2,1,13917.8,0,0,1,20019,20020,5069175,5239472,49223
0,0,1,34,6,1010165000000010004,0,1010107000000001288,1,1,822.27,0,0,1,20014,20016,4554063,4228742,13772
0,0,1,19,3,1010165000000010010,3799,1010107000000001288,2,1,3942.11,0,0,1,20014,20016,4554063,4228742,13772
0,0,2,14,5,1010165000000010010,\N,\N,2,1,8493.7,2,8423.72,2,30020,30028,3434150,3386653,29786
1,0,2,20,3,0,1899,1010107000000001288,2,2,29363.5,0,0,2,30013,30017,1641693,1664914,3456
1,0,2,20,3,0,1899,1010107000000001288,2,2,29363.5,0,0,2,30013,30017,1641693,1664914,3456
0,0,1,32,\N,1010165000000010004,3999,1010107000000001153,1,1,711.2,0,0,1,20001,20002,6899319,6631851,37593
0,0,2,24,3,1010165000000010004,0,1010107000000001079,2,1,1419.66,0,0,1,20032,20035,2609963,2708830,20389
1,0,2,31,2,1010165000000010008,0,1010107000000001127,2,2,7303.39,0,0,2,30013,30017,2102669,2021404,6415
0,0,1,43,5,1010165000000010009,3199,1010107000000001079,2,2,930.69,0,0,2,30013,30017,2102669,2021404,6415
0,0,0,0,\N,0,\N,\N,2,1,5223.24,0,0,1,20001,20002,3087262,3000878,2800
0,0,1,27,2,1010165000000010007,1499,1010107000000001153,2,1,3015.31,0,0,1,20001,20002,3438988,3150857,3794
1,0,2,56,6,1010165000000010008,0,1010107000000001288,2,2,34235,3,15098.3,2,30001,30002,1709762,1675981,9812
1,0,1,14,6,1010165000000010008,5399,1010107000000001153,2,1,22659.9,0,0,1,20019,20020,7789439,7807859,7232
0,0,1,36,6,1010165000000010008,0,1010107000000001153,2,1,6534.4,0,0,1,20001,20002,10353496,10533694,328
1,0,2,42,4,1010165000000010004,3988,1010107000000001153,2,2,4205.07,0,0,2,30020,30021,1759760,3555836,6365
1,0,2,42,4,1010165000000010004,3988,1010107000000001153,2,2,4205.07,0,0,2,30020,30021,1759760,3555836,6365
1,0,2,42,4,1010165000000010004,3988,1010107000000001153,2,2,4205.07,0,0,2,30020,30021,1759760,3555836,6365
0,0,2,40,6,1010165000000010008,0,1010107000000001102,2,2,316914,3,79559.8,2,30013,30018,1134543,2426371,7065
0,0,1,27,1,1010165000000010010,2699,1010107000000001288,2,1,1620.45,2,251.05,1,20001,20002,18454600,18221868,6304
0,0,0,0,3,0,\N,\N,2,1,4037.03,0,0,1,20001,20002,18454600,18221868,6304
0,0,0,0,\N,0,\N,\N,1,1,1934.46,3,645.82,1,20001,20002,18454600,18221868,6304
0,0,1,19,4,1010165000000010007,1998,1010107000000001102,2,1,188862,2,59020,1,20014,20015,4179431,3936819,75120
0,0,1,24,6,1010165000000010004,2698,1010107000000001328,2,1,7696.89,0,0,1,20001,20003,4983792,4858019,91858
0,0,1,26,4,1010165000000010004,0,1010107000000001199,2,1,1937.43,0,0,1,20014,20017,4744990,4698901,30032
0,0,1,14,6,1010165000000010008,1298,1010107000000001102,2,1,9354.77,2,1670.34,1,20028,20029,3782424,3693241,79974
0,0,1,16,4,1010165000000010008,0,1010107000000001102,2,1,6356.78,0,0,1,20014,20016,1862381,1671255,4509
0,0,1,13,4,1010165000000010007,1299,1010107000000001153,2,1,118.84,0,0,1,20037,20040,1462703,1294955,81815
0,0,0,0,4,0,4988,1010107000000001153,2,1,19139.4,0,0,1,20037,20040,1462703,1294955,81815
0,0,2,19,1,1010165000000010007,3299,1010107000000001152,2,3,4525.8,2,3380.47,2,30013,30017,743943,155655,38151
0,0,1,25,0,1010165000000010008,1399,1010107000000001199,2,1,102537,0,0,2,30013,30017,748708,627536,38100
0,0,2,13,3,1010165000000010004,0,1010107000000001288,2,2,3436.79,0,0,2,30013,30017,748708,627536,38100
0,0,2,24,1,1010165000000010004,4288,1010107000000001153,2,2,13869.1,3,3771.92,2,30013,30017,748708,627536,38100
0,0,1,24,2,1010165000000010004,3198,1010107000000001328,1,3,30.75,1,12.2,2,30013,30017,748708,627536,38100
0,0,1,38,6,1010165000000010004,6388,1010107000000001421,2,1,21309.8,0,0,1,20005,20006,3329788,3159250,58690
0,0,2,24,3,1010165000000010010,3999,1010107000000001079,2,1,2041.21,2,1010.6,1,20005,20009,3461011,3546701,5444
0,0,1,27,6,1010165000000010009,0,1010107000000001224,2,1,12964.1,0,0,1,20001,20003,2971687,2836581,202652
0,0,1,18,0,1010165000000010007,1299,1010107000000001079,2,1,100791,0,0,1,20019,20020,1110140,918279,50625
0,0,0,0,1,0,\N,\N,2,1,524.24,0,0,1,20001,20003,5324420,5240307,209652
0,0,2,33,5,1010165000000010008,3699,1010107000000001153,2,1,1715.86,0,0,1,20001,20003,5324420,5240307,209652
0,0,1,24,3,1010165000000010009,1300,1010107000000001102,2,1,158237,2,78476.6,1,20019,20020,1032936,898124,2023
0,0,2,46,1,1010165000000010001,1099,1010107000000001224,1,1,604.48,0,0,1,20037,20041,1062142,522619,11072
1,0,1,43,1,1010165000000010004,0,1010107000000001127,2,1,235831,0,0,1,20042,20049,1917250,1796524,7267
1,0,1,43,1,1010165000000010004,0,1010107000000001127,2,1,235831,0,0,1,20042,20049,1917250,1796524,7267
1,0,1,43,1,1010165000000010004,0,1010107000000001127,2,1,235831,0,0,1,20042,20049,1917250,1796524,7267
0,0,2,16,6,1010165000000010008,1699,1010107000000001153,2,1,3897.59,0,0,1,20019,20020,4105212,4148157,49715
0,0,1,13,4,1010165000000010007,1500,1010107000000001079,2,1,21298.8,0,0,1,20042,20045,4773486,4573365,87706
0,0,1,31,3,1010165000000010008,3898,1010107000000001102,2,1,55498.1,0,0,1,20001,20003,2851591,2745028,10894
1,0,2,21,5,1010165000000010010,2699,1010107000000001153,2,2,220380,0,0,2,30013,30015,730652,686847,5833
1,0,2,21,5,1010165000000010010,2699,1010107000000001153,2,2,220380,0,0,2,30013,30015,730652,686847,5833
